estacion,parada,linea,ascensor,escaleras,accesible,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,tipoTransporte
PLAZA DE CASTILLA,15,10,0,1, 1,est_90_21,21.0,PLAZA DE CASTILLA,Paseo de la Castellana 189,40.4669,-3.6892,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
CUZCO,16,10,0,1, 0,est_4_191,191.0,CUZCO,N/A,40.458420000000004,-3.68985,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
SANTIAGO BERNABEU,17,10,0,0, 0,est_4_192,192.0,SANTIAGO BERNABEU,N/A,40.45159,-3.69038,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
NUEVOS MINISTERIOS,18,10,0,1, 0,est_90_71,71.0,NUEVOS MINISTERIOS,Calle de Raimundo Fernández Villaverde 67,40.44662,-3.69246,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
GREGORIO MARAÑON,19,10,1,0, 1,est_4_142,142.0,GREGORIO MARAÑON,N/A,40.43825,-3.6914800000000003,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
ALONSO MARTINEZ,20,10,0,1, 0,est_4_57,57.0,ALONSO MARTINEZ,N/A,40.42772,-3.6959400000000002,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
TRIBUNAL,21,10,0,1, 0,est_4_10,10.0,TRIBUNAL,N/A,40.426190000000005,-3.7011,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
PLAZA DE ESPAÑA,22,10,1,0, 1,est_4_50,50.0,PLAZA DE ESPAÑA,N/A,40.42342,-3.7112,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
PRINCIPE PIO,23,10,0,1, 1,est_90_18,18.0,PRINCIPE PIO,Paseo de la Florida 2,40.42107,-3.7203699999999995,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
 LAGO,24,10,1,0, 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metro
BATAN,25,10,1,0, 1,est_4_200,200.0,BATAN,N/A,40.40786,-3.75311,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
CASA DE CAMPO,26,10,1,1, 1,est_4_103,103.0,CASA DE CAMPO,N/A,40.403240000000004,-3.7610099999999997,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
